n_nfactor,Ion_N,Ion_P,Ioff_N,Ioff_P,SS_N,SS_P,Vt_N,Vt_P
1.2,0.00050643843133,0.00059991562739,8.518468049e-12,1.37049338891e-11,80.9297066537,78.9051493188,0.485653500791,0.483830407191
1.3,0.000506250944454,0.000599755032454,1.08817442904e-11,1.69721944832e-11,82.6388277564,80.4375558654,0.485325834509,0.48439133592
1.4,0.000506029056851,0.000599566614255,1.38395328184e-11,2.09037752386e-11,84.3579853696,82.0320347909,0.485046142075,0.485000604239
1.5,0.000505768402945,0.000599346880335,1.75047910195e-11,2.55986204456e-11,86.0588331879,83.48660504,0.484789851282,0.485596483833
1.6,0.000505464558955,0.000599092221819,2.20045613675e-11,3.11645084738e-11,87.743630558,85.0067979162,0.48457266895,0.486234101367
1.7,0.000505112984683,0.000598798797,2.74806132711e-11,3.7718137641e-11,89.4179731782,86.592045492,0.484395533602,0.486912519605
1.8,0.000504708732478,0.000598462531343,3.40899808382e-11,4.53851504989e-11,91.1976936994,88.080680762,0.48425496491,0.487630902578
1.9,0.000504246854689,0.000598079175688,4.20054165062e-11,5.43000991393e-11,92.8867678044,89.5900471344,0.484147902729,0.488388523099
2,0.000503722170833,0.000597644306254,5.14157189047e-11,6.46063272325e-11,94.5602336978,91.1612599091,0.484071626466,0.489184739372
2.1,0.00050312950043,0.000597153324634,6.25259774512e-11,7.64558277799e-11,96.2198636247,92.68460369,0.484023737361,0.490017292939
2.2,0.000502463488374,0.000596601516008,7.55576712308e-11,9.00090349476e-11,97.8973310092,94.1843266782,0.484002092251,0.490811903414
2.3,0.00050171877956,0.000595983990934,9.07487002211e-11,1.05434556918e-10,99.6520433209,95.7429691206,0.484004781568,0.491640889782
2.4,0.000500889960676,0.000595295685343,1.08353277739e-10,1.22908849765e-10,101.39043046,97.296355623,0.484030101644,0.492503969085
