n_toxe,Ion_N,Ion_P,Ioff_N,Ioff_P,SS_N,SS_P,Vt_N,Vt_P
1e-09,0.000562877801713,0.000630397058558,3.42047536128e-11,8.39689637266e-11,79.9619987195,80.0951710049,0.427793166785,0.423740047985
1.1e-09,0.000555443461053,0.000630470109172,3.06884795354e-11,7.10725436837e-11,81.9099916223,82.0899410595,0.441567803718,0.439909202058
1.2e-09,0.000542558555026,0.000624467385933,2.74688917445e-11,6.06870595443e-11,83.9137039158,84.1082196208,0.455680363247,0.455901777664
1.3e-09,0.000525564420968,0.000613504380453,2.45753469658e-11,5.22665452585e-11,85.8328760888,86.0249208654,0.470047804017,0.471805454892
1.4e-09,0.000505464558955,0.000598462531343,2.20045613675e-11,4.53851504989e-11,87.743630558,88.080680762,0.48457266895,0.487630902578
1.5e-09,0.000483017065562,0.00058005109895,1.9736432974e-11,3.97148459952e-11,89.6949911519,90.0485488773,0.499267090373,0.503384112538
1.6e-09,0.000458799710032,0.000558848085348,1.77433293752e-11,3.50037984709e-11,91.6453464397,92.031101997,0.514102574874,0.519072897944
1.7e-09,0.000433258799603,0.000535330036655,1.59953630202e-11,3.10583225804e-11,93.5642330398,94.0438724118,0.529053985171,0.534705518377
1.8e-09,0.000406746432418,0.000509896548465,1.44632673893e-11,2.77287619949e-11,95.5587333776,95.974291773,0.544102131229,0.550264558375
1.9e-09,0.000379550037906,0.000482890347484,1.31198307426e-11,2.48987219731e-11,97.4601091155,98.0256099728,0.559231896252,0.56576102199
2e-09,0.000351915688952,0.000454614695627,1.19405188861e-11,2.24770254492e-11,99.4525861848,99.9640068819,0.574431439797,0.581226517798
