n_u0,Ion_N,Ion_P,Ioff_N,Ioff_P,SS_N,SS_P,Vt_N,Vt_P
0.02,0.000384215614758,0.000374445400666,1.34415846509e-11,2.51081499342e-11,87.9732633131,88.405644757,0.508495372137,0.516837172581
0.0225,0.000409946311265,0.000424768833909,1.49146060086e-11,2.91763627147e-11,87.9747076096,88.2385878586,0.503317827815,0.509201524506
0.025,0.000433030159911,0.000472125742817,1.63688021471e-11,3.32399281711e-11,87.9254305885,88.1590228136,0.498756924983,0.502679651744
0.0275,0.000453840009868,0.000516728847288,1.78045321542e-11,3.72968669837e-11,87.7962066158,88.1417093995,0.494703243837,0.497045991805
0.03,0.000472684565466,0.000558778701816,1.92221568523e-11,4.13456699433e-11,87.8314572159,88.1721527788,0.490988208937,0.492075211938
0.0325,0.000489820900839,0.000598462531343,2.0622044003e-11,4.53851504989e-11,87.7820647314,88.080680762,0.487608308678,0.487630902578
0.035,0.000505464558955,0.000635953445453,2.20045613675e-11,4.94143718999e-11,87.743630558,87.9578449387,0.48457266895,0.48362909732
0.0375,0.000519797205925,0.000671411224175,2.33700697683e-11,5.34325604595e-11,87.7296238683,88.061158817,0.48169644893,0.480017016835
0.04,0.000532972859219,0.000704982783645,2.47189282931e-11,5.74390986163e-11,87.7237555491,87.9433236679,0.479084778,0.476604602783
0.0425,0.000545122951735,0.000736802874599,2.60514925604e-11,6.14334624838e-11,87.6450647362,87.974147954,0.476615982855,0.473503060512
0.045,0.000556360115297,0.000766995188314,2.73681095148e-11,6.54152287893e-11,87.7440204729,87.89754671,0.474353273647,0.470641939516
0.0475,0.000566781382076,0.000795673171524,2.8669119162e-11,6.93840332411e-11,87.608811251,87.9519589992,0.472170218444,0.467917992104
0.05,0.000576470745727,0.00082294078311,2.9954854569e-11,7.33395844055e-11,87.6251355682,87.8251720579,0.470200143976,0.465435099241
