vth0,Ion_spice,Ion_cmp,Ioff_spice,Ioff_cmp,SS_spice,SS_cmp,Vt_spice,Vt_cmp
0.55,0.000767828256357,0.00112998187138499,9.70396873967e-10,3.38244426503107e-11,87.6870704436,95.2770041475589,0.338490594017,0.549475
0.58,0.000710238760803,0.00101970804669455,4.25704277385e-10,1.63817120488321e-11,87.7762980093,95.2770041475589,0.370036877722,0.579475
0.61,0.000652957416605,0.000911085793381455,1.86538604008e-10,7.93392199910756e-12,87.7105327557,95.2770041475589,0.401564119862,0.609475
0.64,0.000596128229517,0.000804393628230546,8.18820844461e-11,3.84252379118156e-12,87.6561761323,95.2770041475589,0.433203199871,0.639475
0.67,0.000539906031918,0.000699976422454143,3.61964590245e-11,1.86099498929496e-12,87.7718470836,95.2770041475589,0.464945573025,0.669475
0.7,0.000484463118482,0.000598266413702286,1.62879484206e-11,9.01309279627394e-13,87.7961558539,95.2770041475589,0.496615911449,0.699475
0.73,0.000429998297477,0.000499812742420896,7.62310527203e-12,4.36518326065032e-13,87.7255541704,95.2770041475589,0.528364432728,0.729475
0.76,0.00037674914347,0.000405323839750116,3.85515534426e-12,2.11412722910599e-13,87.776042786,95.2770041475589,0.560175184934,0.759475
0.79,0.000325008557411,0.000315729700840294,2.21761563106e-12,1.02390522320969e-13,87.8735033025,95.2770041475589,0.591902245537,0.789475
0.82,0.000275146594504,0.000232275850382956,1.50621778505e-12,4.95893478728533e-14,87.8060212313,95.2770041475589,0.623697828235,0.819475
